eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
M71a2;9e-04;1e-04;0.0077;1e-04;3e-04;
P;3e-04;0.0015;0.0217;0.0589;0.0288;
Q1a1;8e-04;0.005;0.0695;0.189;0.0926;
P4a;1e-04;4e-04;0.0057;0.0155;0.0076;
P2*1;4e-04;0.0021;0.0296;0.0805;0.0395;
D5b1c1a;0.0071;0.4108;0.2873;1.9175;0.8201;
M7c1a;0.0022;0.0061;0.0061;3e-04;0.0011;
Q3a+61+62;2e-04;0.001;0.0137;0.0372;0.0182;
Q3a1;0;2e-04;0.0034;0.0093;0.0046;
Q1a;2e-04;9e-04;0.0125;0.034;0.0167;
M73a;4e-04;0.0012;0.0257;0.0535;0.0258;
Q1a1a;2e-04;0.0011;0.0159;0.0433;0.0212;
P1;1e-04;7e-04;0.0103;0.0279;0.0137;
Q1+@16223;1e-04;5e-04;0.0068;0.0186;0.0091;
Q1f;0;2e-04;0.0023;0.0062;0.0031;
P4a1*;1e-04;8e-04;0.0114;0.031;0.0152;
P4a1;2e-04;0.0011;0.0148;0.0403;0.0197;
P1+152;0.0016;0.0024;0.1051;0.2182;0.1137;
P3b;2e-04;0.001;0.0137;0.0372;0.0182;
Q1d;2e-04;0.0023;0.0078;0.0222;0.0086;
Q3;6e-04;1e-04;0.0238;0.0371;0.0168;
P1d1*;0;1e-04;0.0011;0.0031;0.0015;
R30a1*;5e-04;0.0029;0.0168;0.0288;0.0085;
P1d1a;0;2e-04;0.0023;0.0062;0.0031;
B4a1a*1;8e-04;1e-04;0.018;0.0429;0.0187;
Q2a;0;2e-04;0.0034;0.0093;0.0046;
Q3b;0;1e-04;0.0011;0.0031;0.0015;
P2*1a;1e-04;3e-04;0.0045;0.0124;0.0061;
M28b1;0;1e-04;0.0011;0.0031;0.0015;
P1d2a;0;1e-04;0.0011;0.0031;0.0015;
Q2a3;0;1e-04;0.0011;0.0031;0.0015;
M27b1;0;2e-04;0.0034;0.0093;0.0046;
P2;0;1e-04;0.0011;0.0031;0.0015;
B4a1a1s;0;1e-04;0.0011;0.0031;0.0015;
B4a1a1a19;0;1e-04;0.0011;0.0031;0.0015;
M28a6;0;1e-04;0.0011;0.0031;0.0015;
M27a2a;0;1e-04;0.0011;0.0031;0.0015;
M29a;0;2e-04;0.0023;0.0062;0.0031;
B4a1a1a;1e-04;3e-04;0.0045;0.0124;0.0061;
R14;0;1e-04;0.0011;0.0031;0.0015;
Q3a1*;0;2e-04;0.0023;0.0062;0.0031;
M28a+204;0;1e-04;0.0011;0.0031;0.0015;
P2*2;0;1e-04;0.0011;0.0031;0.0015;
Q2a4;0;1e-04;0.0011;0.0031;0.0015;
E1a1b4;0;1e-04;0.0011;0.0031;0.0015;
M27c;0;1e-04;0.0011;0.0031;0.0015;
B4a1a1a1c;0;1e-04;0.0011;0.0031;0.0015;
E1a2a1;0;1e-04;0.0011;0.0031;0.0015;
M7c3;7e-04;0.0049;0.0252;0.0581;0.0217;
M60a;0;1e-04;0.001;0.0013;4e-04;
E2b;9e-04;0.002;0.0167;0.038;0.0114;
M50*;3e-04;1e-04;0.0076;0.0028;4e-04;
M51a1a*1;0.0013;5e-04;0.0229;0.0114;0.0016;
B4a2a*1;3e-04;1e-04;0.0051;0.0025;4e-04;
F1e3;7e-04;0.0013;0.0043;0.0053;0.0065;
B4a1a*2;4e-04;2e-04;0.0076;0.0038;5e-04;
N21a;0.0021;0.0033;0.0351;0.0233;0.0089;
E1a1b2;0.0028;0.0819;0.1089;0.4543;0.1775;
B4a1a3a1;0.0017;0.0204;0.067;0.1596;0.055;
M7b1a1b;0.0021;0.0049;0.0086;0.0228;0.0216;
M7b1a1d1;8e-04;0.0041;0.0025;0.0232;0.0185;
M7b1a1a3;0.0043;0.0181;0.0123;0.0896;0.0691;
F3a1*1;3e-04;0.0017;6e-04;0.01;0.0078;
D4a;9e-04;0.0086;0.0016;0.0354;0.0266;
B5a1c1a;0.0011;0.0064;0.0028;0.0339;0.0285;
C7a2;0.0059;0.2071;0.0925;5.7814;17.8817;
M12a1a;0.0019;0.0116;0.0028;0.0511;0.0304;
N9a11;1e-04;4e-04;3e-04;0.0027;0.0032;
F1f*;3e-04;0.0012;0.0011;0.0097;0.0092;
M33c;1e-04;4e-04;3e-04;0.0027;0.0032;
R9b1a3*;7e-04;0.0022;0.0015;0.0176;0.0159;
B4e;0.001;0.0109;6e-04;0.0238;0.0168;
D5b3;8e-04;0.0034;0.003;0.017;0.0154;
R9b1;3e-04;0.0048;1e-04;0.014;3e-04;
M12b1a;2e-04;0.0013;8e-04;0.007;0.006;
M72a;0.0021;0.0096;0.0097;0.0217;0.0143;
B4c1b2c;0.001;0.0055;0.0033;0.0223;0.0188;
M20;0.0012;0.0046;0.0023;0.0211;0.0088;
R9b1a1a*;0.003;0.0217;0.1142;0.188;0.0708;
M21b1a*;9e-04;0.0063;0.0328;0.0556;0.0207;
M22a;8e-04;2e-04;0.005;0;0;
N22a;0.001;5e-04;0.0113;0.0026;0.0012;
N9a6a*1;0.0018;7e-04;0.0172;0;0.0011;
B4a;2e-04;1e-04;0.0022;0;1e-04;
B5b2a2a2;4e-04;1e-04;0.0058;0.0029;5e-04;
B4b1a2h*;5e-04;1e-04;0.0042;0;2e-04;
M3c1a;6e-04;0.003;0.001;0.0025;5e-04;
R21*;9e-04;0;0.0088;2e-04;0;
R21;0.0019;1e-04;0.0193;7e-04;2e-04;
M7b1a1i;8e-04;0.0064;0.0316;0.0646;0.0219;
M13'46'61;0.0031;0.0043;0.2524;0.2548;0.06;
R7;5e-04;0.0029;0.0198;0.0328;0.0103;
F3a*;5e-04;0.0059;0.0014;0.0033;3e-04;
N9a6b;0.0038;0.0444;0.1446;0.2714;0.0759;
G1c;7e-04;1e-04;0.0077;1e-04;3e-04;
B6a1a;0.0018;0.0142;0.0113;0.0425;0;
B4b1a2a;0.0012;0.003;0.0062;0.0163;0.0139;
M45;0.0076;6.7926;6.9118;2.133;0.1017;
M49;6e-04;0.1389;0.1093;0.0284;0;
M38;7e-04;0.0399;0.0165;0.0218;8e-04;
M58;3e-04;0.0146;0.0063;0.0315;0.0088;
M3c;3e-04;0.1166;0.1048;0.0219;1e-04;
M33a1;3e-04;0.1166;0.1048;0.0219;1e-04;
M55;0.0084;4.728;4.8054;0.3075;0.003;
M33b;3e-04;0.1166;0.1048;0.0219;1e-04;
M33b1;4e-04;0.2413;0.2941;0.028;1e-04;
HV12b1;4e-04;0.2413;0.2941;0.028;1e-04;
M54;0.0058;18.4909;33.071;21.7196;0.0273;
M;0.003;0.3344;0.2813;0.0015;0;
R;6e-04;0.1809;0.202;0.0419;0.0017;
M91a;0.0058;0.4491;0.7853;27.9442;57.8365;
M4''67;1e-04;0.0048;0.0022;0.0102;0.0035;
M13c;2e-04;2e-04;0.0046;0.0128;0.0021;
M33a3a*;2e-04;0.0099;0.0041;0.0213;0.0054;
M50;3e-04;0.0046;2e-04;0.0061;2e-04;
M3c+152;1e-04;0.0048;0.0022;0.0102;0.0035;
M46a;9e-04;0.0145;4e-04;0.0467;0.007;
R+16189;4e-04;0.0057;0;0.0203;0.0028;
M5a2a1a2;1e-04;0.0048;0.0022;0.0102;0.0035;
M54*;1e-04;0.0048;0.0022;0.0102;0.0035;
M60a1;1e-04;0.0048;0.0022;0.0102;0.0035;
M35b4;4e-04;0.0416;0.0249;0.0162;7e-04;
M49a;4e-04;0.0416;0.0249;0.0162;7e-04;
M4a;1e-04;0.0057;0.0018;0.0126;0.0015;
M7b;5e-04;0.0317;0.0162;0.0111;2e-04;
M2c;4e-04;0.036;0.0213;0.0093;0;
M30c1;4e-04;0.0372;0.0231;0.0087;0;
M38a;4e-04;0.0372;0.0231;0.0087;0;
M3d;1e-04;0.0048;0.0022;0.0102;0.0035;
M49e;0.0012;0.7205;0.6966;0.2139;0.0113;
R6a1*;1e-04;0.0048;0.0022;0.0102;0.0035;
G2b1a1;4e-04;0.0063;0.0075;0.0157;0;
M49e1;1e-04;0.0048;0.0022;0.0102;0.0035;
R6b;1e-04;0.0048;0.0022;0.0102;0.0035;
D4a5;1e-04;3e-04;3e-04;0.0018;0.0014;
M50a2;4e-04;5e-04;0.0064;0.0162;0.0199;
M49e1*;1e-04;0.0052;0.0019;0.0112;0.0022;
M10a1;1e-04;0.0052;0.0019;0.0112;0.0022;
M49c1;4e-04;0.0372;0.0231;0.0087;0;
M43+16311;0;7e-04;1e-04;0.0015;0;
M18c;0;0.0011;0.0012;0.0018;0;
M65a+@16311;4e-04;0.0372;0.0231;0.0087;0;
M61*;7e-04;0.0067;5e-04;0.029;0.0105;
M34a1a;1e-04;0.0048;0.0022;0.0102;0.0035;
N8;4e-04;8e-04;1e-04;0.0038;0.0011;
G2a1;5e-04;0.0063;0;0.0205;0.002;
M12a2*;1e-04;0.0048;0.0022;0.0102;0.0035;
M10a;0;0.0011;0.0012;0.0018;0;
M68;1e-04;0.0048;0.0022;0.0102;0.0035;
R9c1b1*;2e-04;0.0038;1e-04;0.013;3e-04;
M9a1b+150;9e-04;0.4828;0.5885;0.056;1e-04;
U7a3b;2e-04;3e-04;0.0081;0.0055;0.0013;
D5a2a1+@16172;1e-04;0.0048;0.0022;0.0102;0.0035;
M31b1;2e-04;0.0095;0.0045;0.0203;0.007;
D6a2;6e-04;0.0064;0.023;0.0621;0.0233;
E1a1a1c;0.0011;0.0132;0.0478;0.1383;0.0529;
M17c1;2e-04;0.0022;0.008;0.023;0.0088;
R24a;4e-04;0.0038;0.0165;0.0394;0.0145;
B5b1c1a;0.0023;0.0549;0.1369;0.5355;0.2271;
M17c1a1*;3e-04;0.0025;0.0115;0.0263;0.01;
P9a*;8e-04;0.0061;0.0444;0.189;0.0844;
P9*;4e-04;0.0031;0.0222;0.0944;0.0422;
M52a1b1;0.0019;0.0153;0.1108;0.4722;0.2108;
B5;1e-04;0.001;0.0074;0.0315;0.0141;
M7c1c;1e-04;0.001;0.0074;0.0315;0.0141;
F1a3a2;5e-04;8e-04;0.0133;0.0587;0.0203;
B4c1b2a2b;5e-04;8e-04;0.0133;0.0587;0.0203;
M7c1c1a1;5e-04;8e-04;0.0133;0.0587;0.0203;
F1a3a3;4e-04;6e-04;0.01;0.044;0.0152;
B4a2a1*;1e-04;2e-04;0.0033;0.0147;0.0051;
N9a10a2;1e-04;2e-04;0.0033;0.0147;0.0051;
M80;9e-04;0.0078;0.0652;0.177;0.075;
R9c1a3;0.0018;0.0157;0.1303;0.3538;0.1499;
M19;0.0011;0.0036;0.0571;0.1182;0.0479;
M7c1c3*4;4e-04;0.004;0.0139;0.0349;0.0126;
P10;8e-04;0.0084;0.0311;0.0807;0.0316;
R9c1b2;0.001;0.0059;0.0424;0.1118;0.0485;
M21b1a;0.0026;2e-04;0.2129;0.2173;0.0615;
P9a;4e-04;0.0025;0.0128;0.0258;0.0092;
E2a1;1e-04;8e-04;0.0043;0.0086;0.003;
B5b1c1;9e-04;0.0228;0.0552;0.2196;0.0935;
M7c1c3*3;6e-04;0.0168;0.0346;0.143;0.0603;
M7c1c3i;0.0021;0.037;0.1049;0.3783;0.1568;
M7c1c3h;0.0016;0.048;0.1094;0.459;0.1979;
F3b1b1;0.0014;0.0349;0.0798;0.3186;0.1346;
M7c1c3g;8e-04;0.024;0.0547;0.2296;0.099;
B4a1a6;0.0017;0.0426;0.1053;0.4198;0.1794;
B4a1a6a;8e-04;0.0234;0.0517;0.2161;0.0925;
B4a1a5a;7e-04;0.0141;0.0391;0.1597;0.0664;
Y2a1a;0.0011;0.0252;0.0611;0.2395;0.1014;
M32'56;3e-04;0.006;0.0148;0.0551;0.0238;
H27e;6e-04;0.014;0.0318;0.1277;0.0541;
B4m;3e-04;6e-04;0.0062;0.0073;0.0019;
B4a1a3a1*;3e-04;4e-04;0.0067;0.0294;0.0101;
B4'5;1e-04;2e-04;0.0033;0.0147;0.0051;
B4a1a4;3e-04;4e-04;0.0067;0.0294;0.0101;
B4c1b2a2a;1e-04;2e-04;0.0033;0.0147;0.0051;
B5a2a2b1;1e-04;2e-04;0.0033;0.0147;0.0051;
M7c1c3f;7e-04;0.0219;0.0511;0.2138;0.0924;
B5b1c1*;4e-04;0.0123;0.0289;0.1216;0.0528;
N11b*;0.0019;0.0266;0.081;0.2517;0.0974;
B4b1a2c;8e-04;0.0114;0.0347;0.1078;0.0417;
R24;1e-04;0.0019;0.0058;0.018;0.0069;
M7c1c3d;3e-04;0.0041;0.0126;0.0372;0.0142;
R9b1a1;1e-04;0.0019;0.0058;0.018;0.0069;
E2a1a;4e-04;0.0035;0.0143;0.0344;0.0127;
E2b*;5e-04;0.0062;0.0199;0.0533;0.0194;
B4c1b2a2*2;5e-04;0.0062;0.0199;0.0533;0.0194;
B4c1b2a2*3;2e-04;0.0031;0.01;0.0266;0.0097;
N11b;1e-04;0.0016;0.005;0.0133;0.0049;
F1a4a1*1;1e-04;0.0016;0.005;0.0133;0.0049;
B4b1a2b1;9e-04;0.0119;0.0384;0.1093;0.0431;
M7c1c3a;1e-04;0.0016;0.005;0.0133;0.0049;
B4c1b2a2*1;3e-04;0.0038;0.0118;0.0327;0.0122;
D6c1a;9e-04;0.011;0.039;0.1139;0.0495;
M7b1a2a1*1;6e-04;0.0073;0.026;0.0759;0.033;
D6c1;5e-04;0.0053;0.0215;0.0541;0.0218;
Z4;2e-04;4e-04;0.004;0.0045;0.0012;
M7a1a6;1e-04;8e-04;0.0043;0.0086;0.003;
B6a1;3e-04;1e-04;0.0034;0;1e-04;
B4b1a2d;7e-04;0.0089;0.0273;0.0775;0.0293;
B4b1a2b2*;2e-04;0.0022;0.0068;0.0194;0.0073;
CZ;0;2e-04;0;0.0011;0.001;
F1g1;0.0011;0.0064;0.0024;0.0367;0.0329;
D4e1a3;7e-04;0.005;0.0014;0.0231;0.0191;
B5a1c*;0.0105;0.0678;0.0244;0.3366;0.2641;
B4a5*;4e-04;0.0021;7e-04;0.0153;0.0143;
B4g2*;2e-04;0.001;3e-04;0.0083;0.0076;
B5a1c1a1;9e-04;0.0056;0.002;0.0296;0.0236;
F1a1'4;1e-04;4e-04;2e-04;0.0026;7e-04;
B4g1a;0.0017;0.008;0.0036;0.0335;0.0287;
A13;0;2e-04;1e-04;0.0013;4e-04;
F3a1*2;0.0032;0.0157;0.011;0.0802;0.0625;
F1a1a*2;0;2e-04;1e-04;0.0013;4e-04;
R9b1a2b*2;3e-04;0.0019;8e-04;0.009;0.0063;
M12a1b*;3e-04;0.003;1e-04;0.0098;0.0042;
C7a1;0.0012;0.0013;0.0051;0.0431;0.0028;
M74a*;9e-04;0.0048;0.002;0.0304;0.0239;
D4j1b;3e-04;0.003;1e-04;0.0098;0.0042;
M9a5;5e-04;0.0022;0.0017;0.0101;0.008;
B4a1c4;0.0078;0.047;0.0346;0.2675;0.2245;
R6a2;2e-04;0.001;0;0.0019;0.001;
M9a1b1;1e-04;7e-04;0;0.0022;2e-04;
B4a1e;3e-04;0.0011;0;0.0016;0.0016;
R9c1b1;6e-04;0.0029;0.0014;0.0067;0.0047;
Z3a1a;2e-04;0.001;5e-04;0.005;0.0031;
N9a;3e-04;0.0011;3e-04;0.007;0.0046;
R9b1a3;0.0018;0.0113;0.0025;0.052;0.0296;
M71a;1e-04;6e-04;1e-04;0.0026;9e-04;
F4b;1e-04;3e-04;1e-04;0.0013;8e-04;
B4b1a2a*;0.0015;0.0074;0.0047;0.039;0.0299;
F2d;2e-04;6e-04;6e-04;0.0035;0.0024;
C4d;0;1e-04;0;6e-04;2e-04;
M71b;3e-04;0.0018;7e-04;0.0085;0.0056;
M8a2a1;1e-04;3e-04;1e-04;0.0019;6e-04;
F2e;3e-04;0.0012;8e-04;0.0053;0.0042;
M5b;1e-04;4e-04;1e-04;0.0014;7e-04;
N9a10;6e-04;0.0028;0.0018;0.014;0.0088;
B4c1b;1e-04;4e-04;4e-04;0.0019;0.0011;
C4a2b2;0;1e-04;0;6e-04;2e-04;
N9a1;5e-04;0.0017;0.0017;0.0094;0.0078;
D4g2a1b;4e-04;0.0017;5e-04;0.0071;0.0063;
N10a;7e-04;0.0029;0.0017;0.0147;0.0093;
N10b;0;1e-04;0;6e-04;2e-04;
F1a2;5e-04;0.003;0.0011;0.0113;0.0082;
M10a1a;1e-04;3e-04;1e-04;0.0019;6e-04;
C7a;0.0049;0.0278;0.0119;0.1255;0.0904;
A+152;0;1e-04;0;6e-04;2e-04;
D4h;3e-04;0.0014;8e-04;0.0063;0.0045;
F2b1;6e-04;0.0015;6e-04;0.0164;0.0137;
B4c1b2a;5e-04;0.0013;8e-04;0.0124;0.0101;
F1c1a2;7e-04;0.0046;3e-04;0.0225;0.0105;
F1a3;0.0015;0.0102;0.0032;0.041;0.029;
D4e3;4e-04;0.003;0.001;0.0096;0.0084;
M7b2a;2e-04;0.0013;7e-04;0.006;0.0048;
F1;3e-04;0.003;0;0.0038;0.0027;
M79;5e-04;0.0031;0.0028;0.0196;0.0221;
R11b1;3e-04;0.0018;4e-04;0.002;0.0011;
R11'B6;5e-04;0.0029;4e-04;0.0078;0.0046;
M7c1a3;2e-04;0.0015;2e-04;0.001;4e-04;
M12a2;4e-04;0.0019;4e-04;0.0031;0.0012;
G;0.0011;0.0053;0.0028;0.019;0.0148;
M17;2e-04;0.0015;2e-04;0.001;4e-04;
H13a2a;1e-04;2e-04;0;0.0012;2e-04;
M73a1;2e-04;6e-04;1e-04;0.0015;0.0012;
U2a2;0;1e-04;0;6e-04;1e-04;
M7c2a;0.0011;0.0033;0.0022;0.0141;0.0132;
M12;1e-04;2e-04;0;0.0012;2e-04;
A14;0.0016;0.0085;0.0043;0.0468;0.0313;
G2a1d2;1e-04;2e-04;0;0.0012;2e-04;
U1a1c1d;1e-04;2e-04;0;0.0012;2e-04;
M7b1a1a;5e-04;0.003;8e-04;0.0122;0.0064;
M7b1a1g;0;1e-04;0;6e-04;1e-04;
D4e1a2;0;1e-04;0;6e-04;1e-04;
C4a2b;6e-04;0.003;0.0016;0.0147;0.0098;
M2a1a;0;1e-04;0;6e-04;1e-04;
D5b4;0.0013;0.0059;0.0053;0.0303;0.0248;
D4e1a;7e-04;0.0101;1e-04;0.0315;0.0055;
M50a1;0.0021;0.0275;0.0033;0.0962;0.0287;
F1b1+@152;0;1e-04;0;6e-04;1e-04;
B4b1c1;5e-04;0.0017;0.0019;0.0089;0.0075;
F3b;1e-04;2e-04;0;0.0012;2e-04;
U1a1c1a;0;1e-04;0;6e-04;1e-04;
F1d1;1e-04;7e-04;0;0.0021;1e-04;
B4a1c2;2e-04;0.0012;4e-04;0.0062;0.0039;
F1a4a;3e-04;1e-04;1e-04;0.0053;0.004;
A5b1;1e-04;5e-04;5e-04;0.0028;0.0021;
D4b;0;1e-04;0;6e-04;1e-04;
W3a1b;3e-04;0.0046;3e-04;0.0115;3e-04;
U2a1b;0;1e-04;0;6e-04;1e-04;
B4m*;1e-04;2e-04;1e-04;0.0024;0.0015;
M12b2;0;1e-04;0;6e-04;1e-04;
M5c1;1e-04;0.0013;0;0.0037;1e-04;
M12a;3e-04;9e-04;0.002;1e-04;1e-04;
M71c;2e-04;5e-04;6e-04;0.002;0.0014;
D4b2b;2e-04;0.0011;6e-04;0.0044;0.003;
M37e2;0;1e-04;0;6e-04;1e-04;
A17;0.0021;0.0105;0.0021;0.0489;0.0279;
M40a1;0;7e-04;1e-04;0.0015;0;
F1g;0.001;0.0167;3e-04;0.0242;0.0123;
M13a2*;0;0.0011;0.0012;0.0018;0;
F1d;8e-04;0.0033;0.0013;0.0257;0.0146;
B4a5;7e-04;0.0036;0.002;0.0206;0.0176;
F1g1*;1e-04;8e-04;2e-04;0.0054;0.0051;
C5d;2e-04;9e-04;3e-04;0.0066;0.0061;
D4b2;0;2e-04;0;0.0011;0.001;
A+152+16362;4e-04;0.009;6e-04;0.0138;0.0073;
M37e;3e-04;0.0013;0.0011;0.0064;0.0051;
F1a'c'f;0.0013;0.0067;0.0047;0.0287;0.0226;
M12b;2e-04;0.001;6e-04;0.0038;0.003;
B5a1;9e-04;0.0047;0.0027;0.0185;0.0148;
B4g2;0.001;0.0049;0.0028;0.025;0.0207;
Z3;4e-04;0.0199;0.0064;0.0138;0.004;
M3a1+204;0;2e-04;0;7e-04;6e-04;
K1a4;0;2e-04;0;7e-04;6e-04;
M7b1a1e;4e-04;0.0015;6e-04;0.0056;0.0055;
B4d1a;5e-04;0.0315;0.0115;0.0198;0.0051;
F2a1;0.0019;0.0226;7e-04;0.0471;0.0286;
A13*;0.0012;0.0493;0.0105;0.0411;0.0141;
G2;4e-04;0.0093;8e-04;0.011;0.0052;
D4j3;5e-04;0.0204;0.0042;0.0183;0.0056;
G2a1d2a;4e-04;0.0109;6e-04;0.0156;0.007;
G3b2;1e-04;6e-04;2e-04;0.0023;0.0015;
D4j1a1;0.0019;0.0127;0.0037;0.0387;0.0227;
R2+13500;3e-04;0.0019;8e-04;0.0087;0.0064;
D5a2a1;2e-04;0.0011;6e-04;0.0058;0.0039;
Z3a;3e-04;0.0025;3e-04;0.009;0.0053;
G1a;2e-04;0.0012;5e-04;0.0035;0.0025;
N9a3;1e-04;0.0013;1e-04;0.0031;1e-04;
F1a2a;6e-04;0.0038;0.0011;0.0137;0.0111;
H14;1e-04;0.0026;2e-04;0.0062;1e-04;
M5a;1e-04;0.002;2e-04;0.0047;1e-04;
C7a1a;0;7e-04;1e-04;0.0015;0;
D4g2a1;2e-04;0.001;0;0.0014;7e-04;
M5c2;0;7e-04;1e-04;0.0015;0;
M60;0;7e-04;1e-04;0.0015;0;
M6a1a;1e-04;0.0013;1e-04;0.0031;1e-04;
R30;0;7e-04;1e-04;0.0015;0;
I1b;0;7e-04;1e-04;0.0015;0;
M45a;1e-04;0.002;2e-04;0.0047;1e-04;
M30;0;7e-04;1e-04;0.0015;0;
F1a1c1;0.001;0.0137;0.0012;0.0458;0.0127;
F1a1a1*1;0.0011;0.0136;0.0013;0.0443;0.0139;
E1a1a1a*;0.0013;0.0165;0.0022;0.0584;0.0179;
M71c*;8e-04;0.011;0.0014;0.0387;0.0118;
U2c1b*1;0;7e-04;1e-04;0.0015;0;
U2b2;0;7e-04;1e-04;0.0015;0;
D4g2a1c;1e-04;0.0015;0;0.0038;4e-04;
M71a1a;0.0023;0.0264;0.0032;0.0991;0.0728;
M50a;2e-04;2e-04;0.0028;6e-04;0;
M61;5e-04;0.0027;0.0014;0.0081;0.0078;
D4j1;8e-04;0.0094;7e-04;0.0305;0.0175;
R5a1a;6e-04;0.007;5e-04;0.0229;0.0131;
C4a1b;4e-04;0.0047;4e-04;0.0153;0.0088;
M8a2a1*;7e-04;0.006;7e-04;0.0164;0.0119;
Z;1e-04;5e-04;3e-04;0.0017;0.0012;
M9a1a1;3e-04;0.0015;0.001;0.005;0.0035;
M12a1b;2e-04;0.001;7e-04;0.0033;0.0023;
M68a;3e-04;0.0011;0.001;0.0047;0.004;
B4b1;0;1e-04;2e-04;6e-04;6e-04;
M9a4a1;0.0029;0.0011;0.2203;0.179;0.0362;
B5a;2e-04;0.0013;7e-04;0.006;0.0048;
B4h1;1e-04;6e-04;4e-04;0.003;0.0024;
F2h;2e-04;0.0013;7e-04;0.006;0.0048;
F1a;0.001;0.0061;0.002;0.0211;0.0178;
D6c;2e-04;0.0011;6e-04;0.0057;0.0057;
M57a;1e-04;0.0013;1e-04;0.0031;1e-04;
M48;1e-04;0.0013;1e-04;0.0031;1e-04;
I1e;0;3e-04;0;8e-04;6e-04;
D4h3;1e-04;5e-04;1e-04;0.0015;0.0011;
M7c2;4e-04;0.0035;6e-04;0.0074;0.0072;
G1a2;1e-04;3e-04;3e-04;0.0018;0.0014;
F1a1a*3;0;1e-04;2e-04;6e-04;6e-04;
M9b;1e-04;4e-04;5e-04;0.0013;0.0012;
M32c;0;1e-04;2e-04;6e-04;6e-04;
B5b1;2e-04;0.0013;8e-04;0.0027;0.0018;
M35b+16304;1e-04;3e-04;0;1e-04;3e-04;
R8a1a1a1;1e-04;3e-04;0;1e-04;3e-04;
M3c2;1e-04;3e-04;0;1e-04;3e-04;
B5a1d*1;5e-04;0.0055;5e-04;0.0171;0.0062;
G2b1a;0.0014;0.0095;0.003;0.0362;0.0282;
B4a1c5*;3e-04;0.0017;7e-04;0.009;0.0071;
F1e;5e-04;0.0027;0.0014;0.0148;0.0115;
F3b+152;1e-04;3e-04;1e-04;0.0036;0.0031;
M7c2b;1e-04;1e-04;1e-04;0.0018;0.0016;
M7b1a1h;9e-04;0.0029;0.0028;0.0184;0.0167;
G3a1;3e-04;0.003;0;0.0038;0.0027;
A+152+16362+200;4e-04;0.004;4e-04;0.0143;0.0104;
R6+16129*;2e-04;0.0028;4e-04;0.0098;0.0031;
M5a2a;0;3e-04;0;8e-04;6e-04;
B4a4;1e-04;6e-04;2e-04;0.0024;0.002;
Y1;1e-04;6e-04;2e-04;0.0024;0.002;
G2a+152;2e-04;0.0012;4e-04;0.0047;0.0039;
A15a;1e-04;6e-04;2e-04;0.0024;0.002;
G1a1;9e-04;0.0051;0.0026;0.0223;0.0186;
G2c;1e-04;6e-04;2e-04;0.0024;0.002;
D5a2b;8e-04;0.0029;0.0023;0.016;0.0114;
D4b1a;1e-04;6e-04;2e-04;0.0024;0.002;
U2c1;1e-04;3e-04;3e-04;0.0018;0.0014;
B5b1a;1e-04;3e-04;3e-04;0.0018;0.0014;
P1d2;3e-04;5e-04;0.0208;0.043;0.0224;
D6a;3e-04;5e-04;0.0208;0.043;0.0224;
M51a1a;1e-04;2e-04;3e-04;7e-04;6e-04;
M10;9e-04;0.006;0.0023;0.0304;0.0243;
D5c+16311;1e-04;2e-04;3e-04;8e-04;8e-04;
B4c1b2b;1e-04;2e-04;3e-04;8e-04;8e-04;
D4s;0.0013;0.0053;0.004;0.0296;0.0205;
M11a2;2e-04;8e-04;5e-04;0.0043;0.003;
M12a1a1;1e-04;6e-04;6e-04;0.0032;0.003;
B5b2+@204;1e-04;2e-04;3e-04;8e-04;8e-04;
M22b*;1e-04;2e-04;3e-04;8e-04;8e-04;
D4a7*;1e-04;2e-04;3e-04;8e-04;8e-04;
M9a4b;1e-04;2e-04;3e-04;8e-04;8e-04;
F1b1c;0.0019;0.0158;0.0063;0.0596;0.0445;
F1c1a1;6e-04;0.0031;8e-04;0.011;0.0098;
M7c1c2a;4e-04;0.0039;0.0013;0.0155;0.0112;
D4b2b2a;3e-04;0.0026;9e-04;0.0104;0.0075;
B4c;0.0025;0.0193;0.0082;0.0707;0.0531;
B4c1a;4e-04;0.0024;0.0011;0.0071;0.0051;
M70;1e-04;4e-04;2e-04;0.0012;8e-04;
B4;0.0012;0.008;0.0049;0.0271;0.0221;
B4g1;7e-04;0.005;0.003;0.0169;0.0138;
G2a1+16189;1e-04;7e-04;5e-04;0.0041;0.0033;
F2a;0.001;0.0055;0.0033;0.0315;0.0226;
B4a1c*;1e-04;4e-04;5e-04;0.0022;0.0021;
B4c1b+16335;1e-04;4e-04;5e-04;0.0022;0.0021;
R9b1a2a;0.0012;0.0077;0.0015;0.0371;0.0224;
R9b1a2b;1e-04;4e-04;5e-04;0.0022;0.0021;
N21;1e-04;3e-04;0;1e-04;3e-04;
M5;1e-04;3e-04;0;1e-04;3e-04;
B4a1d;1e-04;4e-04;6e-04;0.0015;0.0015;

cos2
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
M7c1c3;7e-04;0.006;0.0195;0.0411;0.0136;
F3a1;3e-04;3e-04;0.0025;6e-04;0.001;
B4c1b2a2;4e-04;0.0036;0.0136;0.0307;0.0104;
M7c1c3e;1e-04;1e-04;0.0019;0.0014;3e-04;
Y2a;1e-04;4e-04;0.0023;0.0038;0.0013;
F3b1a1;1e-04;4e-04;0.0038;0.0048;0.0014;
